entity_id,name_en,name_ru,name_ar,name_zh,name_ja,name_he,name_hi,name_el,name_ko
Q1000356,Rudolf Krause,,,,,,,,
Q100035683,Corrado Barbieri,,,,,,,,
Q100035749,Louis Jacques Veltman,,,,,,,,
Q100035856,Luigi Mauri,,,,,,,,
Q1000359,Ferdinand Krish,Фердинанд Фердинандович Криш,,,,,,,
Q1000366,Bucky Pizzarelli,Баки Пиццарелли,,巴基·比萨雷利,バッキー・ピザレリ,,,,
Q100036988,Marco Schiavon,,,,,,,,
Q100037564,Philippe Couzinet,,,,,,,,
Q100037810,Maria Amy Freeman,,,,,,,,
Q1000379,Ferdinand Oyono,Фердинанд Леопольд Ойоно,,费迪南·奥约诺,フェルディナン・オヨノ,,,,페르디낭 오요노
Q100037921,Lucienne Erstein,,,,,,,,
Q1000381,Ferdinand Valprede,,,,,,,,
Q1000382,Carl Eduard Schubert,,,,,,,,
Q100038268,Micah Schaffer,,,,,,,,
Q1000385,Ferdinand von Mayerhofer,,,,,,,,
Q1000386,Tiraios I,Тирей I,,,,,,,
Q100038752,Kaan Mert Nasircilar,,,,,,,,
Q100038758,Louis d'Eichthal,,,,,,,,
Q100038822,Mevlüthan Ekelik,,,,,,,,
Q100038893,Michele Grimaldi,,,,,,,,
Q100038944,Liv Vadskjær Hjordt,,,,,,,,
Q100039033,Adem Metin Türk,,,,,,,,
Q1000392,Gejza Ferdinandy,,,,,,,,
Q1000395,György Ferdinandy,,,,,,,,
Q1000396,Ed Meador,,,,,,,,
Q10004,Yevgeny Chernyaev,Евгений Черняев,,,エフゲニー・チェルニャーエフ,,,,
Q1000401,Gyula Ferdinandy,,,,,,,,
Q100040134,Nadia Sasso,,,,,,,,
Q1000405,Miguel de Ferdinandy,,,,,,,,
Q1000408,Larry Augustin,Ларри Огустен,لاري أوغستين,拉里·奥古斯丁,ラリー・オーガスティン,,,,
Q100041077,Abdulkadir Sünger,,,,,,,,
Q100041558,Mamadou Sarr,,,,,,,,
Q1000416,Peter Buchholz,,,,,,,,
Q1000418,Dávid Ferdős,,,,,,,,
Q100041926,Jonathan Mendelsohn,,,,,,,,
Q1000421,Charles Rousselière,,,,,,,,
Q1000425,Li Fei,Ли Фэй,لي فاي,黎斐,黎斐,,,,
Q100042641,Fortunatus Dwarris,,,,,,,,
Q100042751,Abdulkadir Tasdan,,,,,,,,
Q1000435,Peter Sweeney,Питер Суини,بيتر سويني,彼得·史維利,,,,,피터 스위니
Q100043539,Stuart Samuels,Стюарт Сэмюэлс,,,,,,,
Q100043881,Adam Pacholak,,,,,,,,
Q1000439,Bud Cullen,,باد كولين,,,,,,버드 컬런
Q100044214,Hédi Bergl,,,,,,,,
Q1000444,Hermann Klenner,,,,,,,,
Q1000458,Bud Gulka,,,,,,,,
Q1000464,Evelin Ferencsik,,,,フェレンチク・エヴェリン,,,,
Q100046876,Farouk Salomao,,,,,,,,
Q1000471,Bud Fisher,Бад Фишер,باد فيشر,巴德·費舍爾,バド・フィッシャー,,,,버드 피셔
Q100048155,Moisés Salama Benarroch,,,,,,,,
Q1000482,Walter Ivan de Azevedo,,,,,,,,
Q1000488,Gyula Ferencz,,,,,,,,
Q1000489,Győző Ferencz,,جوزو فيرنتز,,,,,,
Q1000490,István Ferencz,,,,,,,,
Q1000491,Bud Collins,Бад Коллинз,بد كولينز,巴德·柯林斯,バド・コリンズ,,,,
Q100049183,Christopher A. Armatas,,,,,,,,
Q100049321,Hamid Saïdji,,,,,,,,
Q100049363,Robert Anderson Clift,,,,,,,,
Q1000494,László Ferencz,,,,,,,,
Q1000498,Bud Greenspan,Бад Гринспен,باد جرينسبان,B. 格林斯潘,バド・グリーンスパン,באד גרינספן,,,버드 그린스펀
Q100050151,Hillary Demmon,,,,,,,,
Q1000502,Bud Olson,,باد أولسون,,,,,,버드 올슨
Q1000503,István Ferencz S.,,,,,,,,
Q1000504,Lőrinc Ferenczfi,,,,,,,,
Q1000505,Bud Lee,Бад Ли,,,,,,,
Q1000506,Attila Ferenczfy-Kovács,Аттила Ковач,,,,,,,
Q1000507,Hugh of Flavigny,Гуго из Флавиньи,,,,הוגו מפלביני,,,
Q1000508,Bernát Ferenczi,,,,,,,,
Q1000509,Bud Holloway,,باد هولواي,,,,,,
Q1000513,Anna Ferenczi,,,,,,,,
Q1000515,Botond Ferenczi,,,,,,,,
Q1000517,Ferenc Ferenczi,,,,,,,,
Q100051867,Danièle Roy,,,,,,,,
Q1000520,Gábor Ferenczi,Габор Ференци,,,,,,,
Q1000521,György Ferenczi,,,,,,,,
Q1000525,Géza Ferenczi,,,,,,,,
Q1000526,Imre Ferenczi,,,,,,,,
Q1000527,István Ferenczi,,,,,,,,
Q1000528,Bud Rose,,,,,,,,
Q1000534,Bud Scott,Бад Скотт,باد سكوت,,バド・スコット,,,,버드 스콧
Q1000535,Magda Ferenczi,,,,,,,,
Q1000536,Miklós Ferenczi,,,,,,,,
Q1000539,Bud Sennett,,,,,,,,
Q1000540,János Ferenczi,Янош Ференци,جانوس فيرينتزي,,フェレンツィ・ヤーノシュ,,,,
Q1000541,Sándor Ferenczi,,,,,,,,
Q100054190,Renée E. Rosen,,,,,,,,
